NO.1: ;cValue: 223.146670 ;String: This is a string ;Other: Hello
NO.2: ;cValue: 223.146670 ;String: This is a string ;Other: Hello
NO.3: ;cValue: 223.146670 ;String: This is a string ;Other: Hello
NO.4: ;cValue: 223.146670 ;String: This is a string ;Other: Hello
NO.5: ;cValue: 223.146670 ;String: This is a string ;Other: Hello
NO.6: ;cValue: 223.146670 ;String: This is a string ;Other: Hello
NO.7: ;cValue: 223.146670 ;String: This is a string ;Other: Hello
NO.1: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.2: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.3: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.4: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.5: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.1: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.2: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.3: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.4: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.1: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.2: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.1: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.2: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.3: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.4: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.1: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.2: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.3: ;Value: 223.146670 ;String: This is a string ;Other: Hello
NO.4: ;Value: 223.146670 ;String: This is a string ;Other: Hello
